date,interval,data_type,key
2026-02-11,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-11.zip
2026-02-11,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-11.zip
2026-02-11,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-11.zip
2026-02-12,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-12.zip
2026-02-12,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-12.zip
2026-02-12,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-12.zip
2026-02-13,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-13.zip
2026-02-13,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-13.zip
2026-02-13,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-13.zip
2026-02-14,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-14.zip
2026-02-14,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-14.zip
2026-02-14,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-14.zip
2026-02-15,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-15.zip
2026-02-15,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-15.zip
2026-02-15,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-15.zip
2026-02-16,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-16.zip
2026-02-16,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-16.zip
2026-02-16,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-16.zip
2026-02-17,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-17.zip
2026-02-17,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-17.zip
2026-02-17,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-17.zip
2026-02-18,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-18.zip
2026-02-18,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-18.zip
2026-02-18,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-18.zip
2026-02-19,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-19.zip
2026-02-19,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-19.zip
2026-02-19,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-19.zip
2026-02-20,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-20.zip
2026-02-20,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-20.zip
2026-02-20,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-20.zip
2026-02-21,daily,aggTrades,data/futures/um/daily/aggTrades/AZTECUSDT/AZTECUSDT-aggTrades-2026-02-21.zip
2026-02-21,daily,bookDepth,data/futures/um/daily/bookDepth/AZTECUSDT/AZTECUSDT-bookDepth-2026-02-21.zip
2026-02-21,daily,metrics,data/futures/um/daily/metrics/AZTECUSDT/AZTECUSDT-metrics-2026-02-21.zip
